#####
#
# 1列目 : 論理テーブル名
# 2列目 : 物理テーブル名 (変更前) 
# 3列目 : 物理テーブル名 (変更後)
# 4列目 : 
# 
#####

年会費再請求ＤＭ                MBST073    BK_MBST073
#個人会員使用者情報              MBST110    BK_MBST110
#銀行名称ファイル                MBST301    BK_MBST301
#銀行支店名称ファイル            MBST302    BK_MBST302
#個人会員月別取扱有無情報        MBST156    BK_MBST156
#個人会員月別請求有無情報        MBST113    BK_MBST113
#極度ローン契約情報             MBST501    BK_MBST501
#極度ローン借入情報             MBST502    BK_MBST502
#極度ローン繰上入金情報         MBST503    BK_MBST503
#極度ローン残高情報             MBST504    BK_MBST504
#リボ残高情報（確定Ⅱ）          MBST510    BK_MBST510
#分割払い月別情報               MBST515    BK_MBST515
#債権旧債情報                   MBST505    BK_MBST505
#債権新債情報                   MBST506    BK_MBST506
#リボ残高情報（決定Ⅰ）          MBST523    BK_MBST523

#個人会員月別請求不渡実績情報    MBST134    BK_MBST134
#個人会員月別請求不渡実績情報    WK_MBST134    BK_WK_MBST134
#年会費情報                      MBST214    BK_MBST214
#年会費情報                      WK_MBST214    BK_WK_MBST214
#支払方法変更情報                MBST230    BK_MBST230
#支払方法変更情報                WK_MBST230    BK_WK_MBST230
#楽Ｐａｙ売上票情報              MBST232    BK_MBST232
#楽Ｐａｙ売上票情報              WK_MBST232    BK_WK_MBST232
#個人会員契約情報                MBST101    BK_MBST101
#個人会員契約情報                WK_MBST101    BK_WK_MBST101
#個人会員月別取扱実績情報        MBST150    BK_MBST150
#個人会員月別取扱実績情報        WK_MBST150    BK_WK_MBST150
#個人会員月別請求実績情報        MBST104    BK_MBST104
#個人会員月別請求実績情報        WK_MBST104    BK_WK_MBST104
